"n","nombre","ruta","extension","tamano_bytes","fecha_creacion","fecha_modificacion","cliente","categoria","subcategoria","estado_lectura","relevancia","duplicado","documentos_relacionados","observaciones"
"34","DOC-20260812-WA0125.docx","MARC\Chat de WhatsApp con MARC\DOC-20260812-WA0125.docx",".docx","50565","15/08/2026 18:10","15/08/2026 18:12","MARC","20_OPERACIONES","Onboarding maestro","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"35","Doc1_Informe_Sesion_Marc_04-05-26.pdf","MARC\Chat de WhatsApp con MARC\Doc1_Informe_Sesion_Marc_04-05-26.pdf",".pdf","98182","15/08/2026 18:10","15/08/2026 18:12","MARC","03_INFORMES","Informe sesión #1 (copia de chat)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","DUPLICADO EXACTO de 1 DÍA\Doc1"
"36","Doc2_Plan_Operativo_Marc_04-05-26.pdf","MARC\Chat de WhatsApp con MARC\Doc2_Plan_Operativo_Marc_04-05-26.pdf",".pdf","188291","15/08/2026 18:10","15/08/2026 18:12","MARC","04_PLANES","Plan operativo (copia de chat)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","DUPLICADO EXACTO de 1 DÍA\Doc2"
"37","Doc3_Contexto_Escala_Marc.pdf","MARC\Chat de WhatsApp con MARC\Doc3_Contexto_Escala_Marc.pdf",".pdf","135130","15/08/2026 18:10","15/08/2026 18:12","MARC","19_ESTRATEGIA","Inteligencia Escala (copia de chat)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","DUPLICADO EXACTO de 1 DÍA\Doc3 (varía solo el nombre)"
"38","IMG-20260724-WA0190.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260724-WA0190.jpg",".jpg","138693","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"39","IMG-20260805-WA0001.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260805-WA0001.jpg",".jpg","155058","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"40","IMG-20260812-WA0122.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260812-WA0122.jpg",".jpg","52790","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"41","IMG-20260814-WA0011.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0011.jpg",".jpg","218490","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"42","IMG-20260814-WA0012.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0012.jpg",".jpg","142173","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"43","IMG-20260814-WA0013.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0013.jpg",".jpg","383104","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"44","IMG-20260814-WA0014.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0014.jpg",".jpg","213646","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"45","IMG-20260814-WA0015.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0015.jpg",".jpg","127083","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"46","IMG-20260814-WA0016.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0016.jpg",".jpg","198677","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"47","IMG-20260814-WA0070.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0070.jpg",".jpg","181480","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"48","IMG-20260814-WA0071.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0071.jpg",".jpg","128935","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"49","IMG-20260814-WA0072.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0072.jpg",".jpg","70989","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"50","IMG-20260814-WA0073.jpg","MARC\Chat de WhatsApp con MARC\IMG-20260814-WA0073.jpg",".jpg","60656","15/08/2026 18:10","15/08/2026 18:12","MARC","11_IMÁGENES","Imagen de chat (analizada visualmente)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"51","INFORME - IMPODERATE.pdf","MARC\Chat de WhatsApp con MARC\INFORME - IMPODERATE.pdf",".pdf","1182466","15/08/2026 18:10","15/08/2026 18:12","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — PARCIAL (27/29 páginas legibles; págs. 12 y 24 sin texto extraíble)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Informe de investigación de mercado InPodera.ai (03/08/2026) preparado para Marc Souza Gil; programa high-ticket US$1.700; veredicto SÍ 70/100. Releído con pypdf el 16/08/2026: 27/29 páginas con texto extraíble."
"52","Info básic para Sebastian.docx","MARC\Chat de WhatsApp con MARC\Info básic para Sebastian.docx",".docx","15108","15/08/2026 18:10","15/08/2026 18:12","MARC","19_ESTRATEGIA","Briefing de Marc: precios, lanzamientos, canales","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"53","Oferta_Colaboracion_Sebastian.xlsx","MARC\Chat de WhatsApp con MARC\Oferta_Colaboracion_Sebastian.xlsx",".xlsx","15543","15/08/2026 18:10","15/08/2026 18:12","MARC","15_FINANZAS","Oferta fijo 400 € + comisiones","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Marc indicó ""solo casillas violetas"" (12/08 16:50); resto es borrador"
"54","PTT-20260804-WA0123.opus","MARC\Chat de WhatsApp con MARC\PTT-20260804-WA0123.opus",".opus","134559","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"55","PTT-20260804-WA0124.opus","MARC\Chat de WhatsApp con MARC\PTT-20260804-WA0124.opus",".opus","371761","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"56","PTT-20260804-WA0125.opus","MARC\Chat de WhatsApp con MARC\PTT-20260804-WA0125.opus",".opus","946276","15/08/2026 18:10","15/08/2026 18:12","MARC","20_OPERACIONES","Onboarding maestro","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"57","PTT-20260804-WA0126.opus","MARC\Chat de WhatsApp con MARC\PTT-20260804-WA0126.opus",".opus","283897","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"58","PTT-20260804-WA0133.opus","MARC\Chat de WhatsApp con MARC\PTT-20260804-WA0133.opus",".opus","398655","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"59","PTT-20260805-WA0005.opus","MARC\Chat de WhatsApp con MARC\PTT-20260805-WA0005.opus",".opus","335631","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"60","PTT-20260807-WA0000.opus","MARC\Chat de WhatsApp con MARC\PTT-20260807-WA0000.opus",".opus","265969","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"61","PTT-20260807-WA0004.opus","MARC\Chat de WhatsApp con MARC\PTT-20260807-WA0004.opus",".opus","248418","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"62","PTT-20260807-WA0081.opus","MARC\Chat de WhatsApp con MARC\PTT-20260807-WA0081.opus",".opus","96585","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"63","PTT-20260810-WA0060.opus","MARC\Chat de WhatsApp con MARC\PTT-20260810-WA0060.opus",".opus","12250","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"64","PTT-20260810-WA0081.opus","MARC\Chat de WhatsApp con MARC\PTT-20260810-WA0081.opus",".opus","159143","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"65","PTT-20260810-WA0082.opus","MARC\Chat de WhatsApp con MARC\PTT-20260810-WA0082.opus",".opus","15724","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"66","PTT-20260810-WA0083.opus","MARC\Chat de WhatsApp con MARC\PTT-20260810-WA0083.opus",".opus","29228","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"67","PTT-20260814-WA0077.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0077.opus",".opus","55035","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"68","PTT-20260814-WA0111.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0111.opus",".opus","120219","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"69","PTT-20260814-WA0112.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0112.opus",".opus","46869","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"70","PTT-20260814-WA0114.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0114.opus",".opus","38878","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"71","PTT-20260814-WA0115.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0115.opus",".opus","19681","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"72","PTT-20260814-WA0116.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0116.opus",".opus","53077","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"73","PTT-20260814-WA0137.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0137.opus",".opus","121948","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"74","PTT-20260814-WA0170.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0170.opus",".opus","102168","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
